id,game_id,game_date,quarter,time,play_description,home_score,away_score,team,player
1215,m9sh1b3jm0p1,2025-01-20,Q2,5:25,"Phantom  shot clock violation turnover",21,21,Phantom,"Phantom  shot clock violation"
1216,m9sh1b3jm0p1,2025-01-20,Q2,5:11,"Dearica Hamby makes two point shot",21,23,Vinyl,"Dearica Hamby"
1217,m9sh1b3jm0p1,2025-01-20,Q2,5:11,"Rhyne Howard assist",21,23,Vinyl,"Rhyne Howard"
1218,m9sh1b3jm0p1,2025-01-20,Q2,5:01,"Sabrina Ionescu makes two point shot",23,23,Phantom,"Sabrina Ionescu"
1219,m9sh1b3jm0p1,2025-01-20,Q2,4:54,"Satou Sabally personal foul",23,23,Phantom,"Satou Sabally"
1220,m9sh1b3jm0p1,2025-01-20,Q2,4:54,"Dearica Hamby makes free throw (2pt.)",23,25,Vinyl,"Dearica Hamby"
1221,m9sh1b3jm0p1,2025-01-20,Q2,4:45,"Natasha Cloud misses three point shot",23,25,Phantom,"Natasha Cloud"
1222,m9sh1b3jm0p1,2025-01-20,Q2,4:44,"Dearica Hamby defensive rebound",23,25,Vinyl,"Dearica Hamby"
1223,m9sh1b3jm0p1,2025-01-20,Q2,4:37,"Rhyne Howard makes two point shot",23,27,Vinyl,"Rhyne Howard"
1224,m9sh1b3jm0p1,2025-01-20,Q2,4:26,"Rhyne Howard personal foul",23,27,Vinyl,"Rhyne Howard"
1225,m9sh1b3jm0p1,2025-01-20,Q2,4:24,"Satou Sabally misses free throw (2pt.)",23,27,Phantom,"Satou Sabally"
1226,m9sh1b3jm0p1,2025-01-20,Q2,4:23,"Dearica Hamby defensive rebound",23,27,Vinyl,"Dearica Hamby"
1227,m9sh1b3jm0p1,2025-01-20,Q2,4:18,"Arike Ogunbowale makes two point shot",23,29,Vinyl,"Arike Ogunbowale"
1228,m9sh1b3jm0p1,2025-01-20,Q2,4:08,"Sabrina Ionescu makes three point shot",26,29,Phantom,"Sabrina Ionescu"
1229,m9sh1b3jm0p1,2025-01-20,Q2,4:08,"Satou Sabally assist",26,29,Phantom,"Satou Sabally"
1230,m9sh1b3jm0p1,2025-01-20,Q2,3:59,"Sabrina Ionescu personal foul",26,29,Phantom,"Sabrina Ionescu"
1231,m9sh1b3jm0p1,2025-01-20,Q2,3:51,"Arike Ogunbowale misses three point shot",26,29,Vinyl,"Arike Ogunbowale"
1232,m9sh1b3jm0p1,2025-01-20,Q2,3:50,"Dearica Hamby offensive rebound",26,29,Vinyl,"Dearica Hamby"
1233,m9sh1b3jm0p1,2025-01-20,Q2,3:48,"Dearica Hamby makes two point shot",26,31,Vinyl,"Dearica Hamby"
1234,m9sh1b3jm0p1,2025-01-20,Q2,3:33,"Sabrina Ionescu makes two point shot",28,31,Phantom,"Sabrina Ionescu"
1235,m9sh1b3jm0p1,2025-01-20,Q2,3:33,"Katie Lou Samuelson assist",28,31,Phantom,"Katie Lou Samuelson"
1236,m9sh1b3jm0p1,2025-01-20,Q2,3:18,"Dearica Hamby makes two point shot",28,33,Vinyl,"Dearica Hamby"
1237,m9sh1b3jm0p1,2025-01-20,Q2,3:18,"Arike Ogunbowale assist",28,33,Vinyl,"Arike Ogunbowale"
1238,m9sh1b3jm0p1,2025-01-20,Q2,3:08,"Natasha Cloud  bad pass turnover",28,33,Phantom,"Natasha Cloud"
1239,m9sh1b3jm0p1,2025-01-20,Q2,1:30,Timeout,28,33,NULL,NULL
1240,m9sh1b3jm0p1,2025-01-20,Q2,2:56,"Dearica Hamby assist",28,33,Vinyl,"Dearica Hamby"
1241,m9sh1b3jm0p1,2025-01-20,Q2,2:56,"Rhyne Howard makes three point shot",28,36,Vinyl,"Rhyne Howard"
1242,m9sh1b3jm0p1,2025-01-20,Q2,2:44,"Natasha Cloud makes two point shot",30,36,Phantom,"Natasha Cloud"
1243,m9sh1b3jm0p1,2025-01-20,Q2,2:31,"Arike Ogunbowale makes two point shot",30,38,Vinyl,"Arike Ogunbowale"
1244,m9sh1b3jm0p1,2025-01-20,Q2,2:20,"Katie Lou Samuelson misses three point shot",30,38,Phantom,"Katie Lou Samuelson"
1245,m9sh1b3jm0p1,2025-01-20,Q2,2:18,"Dearica Hamby defensive rebound",30,38,Vinyl,"Dearica Hamby"
1246,m9sh1b3jm0p1,2025-01-20,Q2,2:12,"Arike Ogunbowale assist",30,38,Vinyl,"Arike Ogunbowale"
1247,m9sh1b3jm0p1,2025-01-20,Q2,2:12,"Dearica Hamby makes two point shot",30,40,Vinyl,"Dearica Hamby"
1248,m9sh1b3jm0p1,2025-01-20,Q2,2:00,"Katie Lou Samuelson makes two point shot",32,40,Phantom,"Katie Lou Samuelson"
1249,m9sh1b3jm0p1,2025-01-20,Q2,2:00,"Sabrina Ionescu assist",32,40,Phantom,"Sabrina Ionescu"
1250,m9sh1b3jm0p1,2025-01-20,Q2,1:44,"Rhyne Howard misses two point shot",32,40,Vinyl,"Rhyne Howard"
1251,m9sh1b3jm0p1,2025-01-20,Q2,1:43,"Phantom defensive team rebound",32,40,Phantom,NULL
1252,m9sh1b3jm0p1,2025-01-20,Q2,1:32,"Natisha Hiedeman misses three point shot",32,40,Phantom,"Natisha Hiedeman"
1253,m9sh1b3jm0p1,2025-01-20,Q2,1:31,"Rhyne Howard defensive rebound",32,40,Vinyl,"Rhyne Howard"
1254,m9sh1b3jm0p1,2025-01-20,Q2,1:24,"Dearica Hamby makes two point shot",32,42,Vinyl,"Dearica Hamby"
1255,m9sh1b3jm0p1,2025-01-20,Q2,1:24,"Natisha Hiedeman personal foul",32,42,Phantom,"Natisha Hiedeman"
1256,m9sh1b3jm0p1,2025-01-20,Q2,1:24,"Rhyne Howard assist",32,42,Vinyl,"Rhyne Howard"
1257,m9sh1b3jm0p1,2025-01-20,Q2,1:22,"Dearica Hamby misses free throw (1pt.)",32,42,Vinyl,"Dearica Hamby"
1258,m9sh1b3jm0p1,2025-01-20,Q2,1:21,"Sabrina Ionescu defensive rebound",32,42,Phantom,"Sabrina Ionescu"
1259,m9sh1b3jm0p1,2025-01-20,Q2,1:17,"Sabrina Ionescu misses two point shot",32,42,Phantom,"Sabrina Ionescu"
1260,m9sh1b3jm0p1,2025-01-20,Q2,1:15,"Rhyne Howard defensive rebound",32,42,Vinyl,"Rhyne Howard"
1261,m9sh1b3jm0p1,2025-01-20,Q2,1:11,"Brittney Griner personal foul",32,42,Phantom,"Brittney Griner"
1262,m9sh1b3jm0p1,2025-01-20,Q2,1:11,"Rhyne Howard makes free throw (2pt.)",32,44,Vinyl,"Rhyne Howard"
1263,m9sh1b3jm0p1,2025-01-20,Q2,1:02,"Brittney Griner  offensive foul turnover",32,44,Phantom,"Brittney Griner  offensive foul"
1264,m9sh1b3jm0p1,2025-01-20,Q2,1:02,"Brittney Griner personal foul",32,44,Phantom,"Brittney Griner"
